Date,Open,High,Low,Close,Adj Close,Volume
1/1/2017,69.239998,69.629997,65.279999,66.739998,62.013908,181828000
2/1/2017,66.459999,72.800003,66.040001,70.93,65.907211,207967400
3/1/2017,70.970001,72.559998,69.330002,72.080002,66.975777,191103100
4/1/2017,72.080002,75.769997,71.379997,75.18,70.369904,127527200
5/1/2017,75.089996,79.440002,74.959999,78.599998,73.571098,182345800
6/1/2017,78.639999,80.470001,73.290001,75.68,71.311958,247520700
7/1/2017,75.839996,80.339996,73.129997,79.989998,75.373199,143448100
8/1/2017,80.25,81.989998,77.5,78.07,73.564018,203652700
9/1/2017,78.309998,81.120003,77.730003,78.139999,74.093117,161153600
10/1/2017,77.900002,89.110001,77.5,87.309998,82.788193,198775100
11/1/2017,87.07,100.129997,87,97.230003,92.194443,222703100
12/1/2017,97.610001,99.910004,96.139999,98.75,93.635727,166774100
1/1/2018,99.300003,109.980003,98.519997,106.599998,101.61187,169694600
2/1/2018,105.959999,106.559998,90,90.010002,85.798172,307532700
3/1/2018,90.169998,90.5,85.279999,88.970001,84.806839,256003000
4/1/2018,88,89.660004,84.839996,88.459999,84.823418,163581800
5/1/2018,87.669998,88.099998,81.779999,82.540001,79.146782,248483300
6/1/2018,83.040001,87.489998,82.370003,85.650002,82.646347,185619400
7/1/2018,85.650002,89.660004,83.400002,89.230003,86.100807,117596900
8/1/2018,88.860001,100.209999,87.620003,95.860001,92.498291,205659500
9/1/2018,95.800003,97.660004,93.690002,93.910004,91.142998,127212500
10/1/2018,94.290001,102.599998,92.889999,100.279999,97.325287,216421000
11/1/2018,99.959999,106.209999,93.309998,97.650002,94.772789,191936600
12/1/2018,98.019997,99.589996,85.779999,93.150002,90.405373,186311800
1/1/2019,91.639999,99.349998,91.639999,95.830002,93.513947,160739700
2/1/2019,95.919998,104.18,93.110001,98.989998,96.59758,166799500
3/1/2019,99.470001,100.489998,95,97.529999,95.172859,141147100
4/1/2019,97.970001,104.150002,96.790001,102.839996,100.894508,110606900
5/1/2019,102.769997,103.959999,98.849998,101.440002,99.520996,155764900
6/1/2019,101.629997,112.220001,101.400002,110.489998,108.975624,121524400
7/1/2019,111.300003,115.489998,109.629997,110.379997,108.867134,91288100
8/1/2019,110.32,115.379997,104.839996,114.260002,112.693962,157310800
9/1/2019,113.68,119.860001,113.489998,118.68,117.629562,105362500
10/1/2019,118.849998,120.709999,114.580002,117.260002,116.222137,96406900
11/1/2019,117.919998,125.379997,117.080002,119.089996,118.035934,116620200
12/1/2019,119.150002,122.120003,117.419998,118.839996,117.788139,98422700
