"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 07, 2019","293.41","291.04","295.69","290.50","2.05M","0.60%"
"Oct 04, 2019","291.67","287.85","291.95","283.32","4.54M","0.92%"
"Oct 03, 2019","289.00","285.39","290.86","281.60","3.96M","1.36%"
"Oct 02, 2019","285.11","283.23","285.79","282.22","2.51M","0.42%"
"Oct 01, 2019","283.93","288.04","288.68","283.18","2.65M","-1.45%"
"Sep 30, 2019","288.11","287.70","288.62","286.57","2.18M","0.76%"
"Sep 27, 2019","285.95","289.53","289.53","284.40","1.54M","-0.80%"
"Sep 26, 2019","288.26","289.43","289.81","286.60","1.89M","-0.09%"
"Sep 25, 2019","288.51","288.26","289.68","286.87","1.85M","0.21%"
"Sep 24, 2019","287.91","289.30","292.62","286.40","2.50M","0.12%"
"Sep 23, 2019","287.57","286.36","288.13","285.75","2.06M","0.42%"
"Sep 20, 2019","286.36","288.75","289.41","286.14","3.47M","-0.51%"
"Sep 19, 2019","287.83","289.49","289.76","284.71","3.06M","-1.57%"
"Sep 18, 2019","292.43","290.70","293.57","288.80","1.69M","0.35%"
"Sep 17, 2019","291.41","289.56","291.79","288.69","1.78M","0.94%"
"Sep 16, 2019","288.69","290.57","291.38","288.34","1.51M","-1.10%"
"Sep 13, 2019","291.90","290.20","294.07","289.85","2.31M","0.69%"
"Sep 12, 2019","289.89","290.34","292.75","288.68","2.94M","-0.28%"
"Sep 11, 2019","290.69","294.30","295.74","287.81","4.75M","-2.12%"
"Sep 10, 2019","297.00","297.38","298.25","294.58","2.72M","-0.67%"
"Sep 09, 2019","299.00","304.50","307.34","298.21","3.40M","-1.57%"
"Sep 06, 2019","303.76","299.20","304.64","298.29","3.02M","2.29%"
"Sep 05, 2019","296.97","298.43","299.71","296.68","1.87M","0.29%"
"Sep 04, 2019","296.12","294.00","296.30","293.77","1.38M","1.39%"
"Sep 03, 2019","292.05","292.57","294.00","290.46","1.84M","-0.92%"
"Aug 30, 2019","294.76","298.00","298.28","292.83","1.80M","-0.61%"
"Aug 29, 2019","296.57","297.48","297.73","292.76","2.61M","0.71%"
"Aug 28, 2019","294.49","293.75","299.95","292.42","5.17M","0.72%"
"Aug 27, 2019","292.38","281.00","293.44","280.34","5.18M","5.00%"
"Aug 26, 2019","278.46","275.75","278.53","275.69","1.43M","1.62%"
"Aug 23, 2019","274.01","278.21","280.13","272.70","1.98M","-2.11%"
"Aug 22, 2019","279.92","277.01","280.99","276.87","2.35M","1.54%"
"Aug 21, 2019","275.68","275.41","276.54","274.70","1.68M","0.99%"
"Aug 20, 2019","272.97","276.28","276.36","272.85","1.39M","-0.96%"
"Aug 19, 2019","275.61","276.41","277.38","274.55","1.31M","0.55%"
"Aug 16, 2019","274.10","274.10","276.07","273.44","1.28M","0.95%"
"Aug 15, 2019","271.52","270.53","272.97","268.77","1.65M","1.26%"
"Aug 14, 2019","268.15","274.00","275.36","268.00","2.12M","-2.94%"
"Aug 13, 2019","276.26","271.18","278.16","270.01","1.74M","1.82%"
"Aug 12, 2019","271.31","274.03","274.98","269.30","1.64M","-0.96%"
"Aug 09, 2019","273.94","274.58","275.47","271.91","1.28M","-0.31%"
"Aug 08, 2019","274.80","273.04","274.84","271.00","2.05M","0.18%"
"Aug 07, 2019","274.30","268.18","274.86","263.59","3.04M","1.85%"
"Aug 06, 2019","269.31","266.47","270.23","264.05","2.38M","1.59%"
"Aug 05, 2019","265.10","270.09","270.55","262.71","3.33M","-2.72%"
"Aug 02, 2019","272.50","274.30","274.94","270.50","1.97M","-0.75%"
"Aug 01, 2019","274.57","275.75","280.93","274.31","2.63M","-0.38%"
"Jul 31, 2019","275.63","279.02","279.72","272.63","1.89M","-1.38%"
"Jul 30, 2019","279.50","280.27","280.57","279.10","978.17K","-0.22%"
"Jul 29, 2019","280.13","281.01","281.30","279.54","1.26M","-0.44%"
"Jul 26, 2019","281.37","279.80","281.77","279.12","1.45M","0.56%"
"Jul 25, 2019","279.80","281.20","281.94","279.34","1.60M","-0.37%"
"Jul 24, 2019","280.83","279.83","281.24","279.01","1.26M","0.26%"
"Jul 23, 2019","280.10","281.85","282.08","279.02","1.12M","-0.02%"
"Jul 22, 2019","280.17","281.22","282.32","279.32","1.46M","-0.48%"
"Jul 19, 2019","281.51","283.07","284.31","281.35","1.61M","-0.49%"
"Jul 18, 2019","282.91","282.20","283.06","279.19","1.70M","0.48%"
"Jul 17, 2019","281.56","281.05","282.85","280.22","1.72M","0.32%"
"Jul 16, 2019","280.65","281.00","281.37","279.78","1.38M","0.02%"
"Jul 15, 2019","280.58","279.94","280.70","278.90","1.57M","0.41%"
"Jul 12, 2019","279.44","276.50","280.00","276.01","2.05M","1.05%"
"Jul 11, 2019","276.54","272.33","276.77","271.81","1.99M","1.89%"
"Jul 10, 2019","271.42","270.05","271.53","269.34","1.26M","0.54%"
"Jul 09, 2019","269.97","269.36","270.78","268.49","1.40M","0.21%"
"Jul 08, 2019","269.40","268.33","269.69","267.35","1.24M","0.43%"
"Jul 05, 2019","268.25","268.20","268.61","266.27","1.08M","-0.33%"
"Jul 03, 2019","269.14","265.14","269.16","265.14","986.47K","1.38%"
"Jul 02, 2019","265.47","263.92","265.57","261.67","1.20M","0.73%"
"Jul 01, 2019","263.55","266.43","267.00","261.84","1.96M","-0.27%"
"Jun 28, 2019","264.26","265.50","266.38","263.36","1.95M","-0.50%"
"Jun 27, 2019","265.58","264.90","266.48","262.99","1.12M","0.44%"
"Jun 26, 2019","264.41","266.45","266.82","264.34","1.33M","-0.73%"
"Jun 25, 2019","266.36","266.71","267.08","265.36","1.18M","-0.15%"
"Jun 24, 2019","266.77","267.31","267.97","266.52","1.59M","0.24%"
"Jun 21, 2019","266.13","266.77","268.94","265.99","2.96M","-0.46%"
"Jun 20, 2019","267.35","265.00","267.79","264.55","1.75M","1.40%"
"Jun 19, 2019","263.66","262.31","264.10","260.94","1.63M","0.35%"
"Jun 18, 2019","262.74","263.61","264.20","262.05","2.76M","0.50%"
"Jun 17, 2019","261.43","261.13","262.25","260.43","1.19M","0.49%"
"Jun 14, 2019","260.15","260.00","261.20","258.91","1.29M","0.17%"
"Jun 13, 2019","259.71","257.71","259.87","257.55","1.23M","0.96%"
"Jun 12, 2019","257.23","257.58","258.75","255.77","1.07M","0.05%"
"Jun 11, 2019","257.11","258.91","259.62","256.21","1.61M","0.10%"
